stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13
1,1,0,663.3,0,206,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1334.2,1,207,1,80,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,667.3,0,208,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,778.3,1,209,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,743.3,1,210,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,716.4,1,211,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1161.3,1,212,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,718.2,0,213,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1095.2,1,214,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,726.1,1,215,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,683.2,1,216,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,578.1,1,217,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,649.1,1,218,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,700.1,0,219,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,769.1,1,220,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,606.1,1,221,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,645,1,222,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,836,1,223,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,736.9,0,224,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,933.9,1,225,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,555,1,226,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,623.9,1,227,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,748.9,1,228,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,761.9,1,229,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,714.9,1,230,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,799.9,1,231,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,646.9,1,232,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,771.9,1,233,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,918.8,1,234,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,619.8,1,235,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,0,712.8,0,236,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,743.8,0,237,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,716.8,1,238,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,705.8,1,239,0,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1176.7,1,240,1,80,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,1,759.7,0,241,1,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,668.7,0,242,0,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,723.7,0,243,1,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,800.7,1,244,0,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,811.6,0,245,1,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,648.6,0,246,0,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,685.7,0,247,0,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,1298.6,0,248,1,20,1,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,803.6,1,249,0,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,730.5,0,250,1,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,839.6,1,251,0,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,978.5,0,252,1,20,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
